,steel,shape,bore,carbon,hardness,strength,len,thick,width,classes
144,A,COIL,0,0.0,50,0,0,1.6,1250.0,2
145,R,SHEET,0,0.0,0,0,881,1.601,830.0,1
146,M,COIL,0,0.0,0,350,0,0.9,1320.0,2
147,V,COIL,0,0.0,0,0,0,2.0,1525.0,1
148,A,SHEET,0,0.0,0,0,762,0.6990000000000001,520.0,2
149,A,COIL,0,0.0,60,0,0,0.8,710.1,2
150,A,COIL,0,0.0,50,0,0,0.6,610.0,2
151,R,COIL,0,0.0,0,500,0,1.6,1320.0,2
152,R,SHEET,0,0.0,0,0,4880,0.6,610.0,2
153,A,SHEET,0,0.0,0,0,1000,1.6,1320.0,2
154,A,SHEET,0,0.0,0,0,4880,0.7,610.0,2
155,A,COIL,0,0.0,45,0,0,0.6990000000000001,1320.0,2
156,A,COIL,600,0.0,85,0,0,3.201,1000.0,4
157,A,SHEET,0,0.0,0,0,4880,0.6,1220.0,3
158,A,COIL,0,0.0,0,0,0,1.0,75.0,2
159,,COIL,0,0.0,0,0,0,1.6,1220.0,3
160,A,COIL,0,0.0,0,0,0,3.2,609.9,2
161,R,COIL,0,0.0,0,0,0,0.7,1320.0,2
162,A,COIL,0,0.0,70,0,0,2.5,609.9,2
163,A,SHEET,0,0.0,0,0,0,0.6990000000000001,609.9,2
164,R,SHEET,0,0.0,0,0,1000,3.2,610.0,2
165,R,COIL,0,0.0,0,0,0,0.9,966.1,2
166,A,COIL,0,0.0,0,0,0,1.001,610.0,2
167,R,SHEET,0,0.0,0,0,612,0.601,375.0,2
168,A,COIL,0,0.0,0,0,0,0.8,50.0,3
169,K,COIL,0,45.0,0,0,0,0.6,610.0,2
170,A,COIL,0,0.0,0,0,0,3.2,1320.0,2
171,A,SHEET,0,0.0,0,0,4880,0.6,610.0,3
172,A,SHEET,0,0.0,0,0,762,0.9990000000000001,1220.0,2
173,R,COIL,0,0.0,0,0,0,1.6,50.0,1
174,A,SHEET,0,0.0,0,0,4170,1.2,335.0,2
175,A,SHEET,0,0.0,0,0,4880,1.2,1250.0,2
176,W,COIL,600,0.0,0,310,0,2.5,1274.9,2
177,R,COIL,0,0.0,0,0,0,0.7,610.0,2
178,V,SHEET,0,0.0,0,0,1,0.8,1320.0,1
179,A,COIL,0,0.0,85,0,0,3.2,609.9,4
180,A,COIL,0,0.0,0,0,0,1.6,50.0,3
181,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,610.0,2
182,A,SHEET,0,0.0,0,0,4880,1.599,1300.0,2
183,A,SHEET,0,0.0,0,0,4880,0.7,610.0,2
184,A,COIL,0,0.0,0,0,0,0.6,1320.0,2
185,,SHEET,0,0.0,0,0,4880,0.301,610.0,2
186,A,SHEET,0,0.0,0,0,762,0.6,1220.0,2
187,R,COIL,0,0.0,0,300,0,0.8,915.1,0
188,A,COIL,600,0.0,85,0,0,4.0,1000.0,4
189,K,COIL,0,65.0,0,0,0,1.5,640.0,2
190,A,SHEET,0,0.0,0,0,612,1.2,335.0,3
191,A,SHEET,0,0.0,0,0,4880,0.6,520.0,2
192,A,COIL,0,0.0,0,0,0,1.6,1320.0,2
193,R,COIL,0,0.0,0,0,0,3.2,1320.0,2
194,A,COIL,0,0.0,0,0,0,0.4,20.0,2
195,A,SHEET,0,0.0,0,0,4880,0.3,610.0,2
196,A,SHEET,0,0.0,0,0,4880,0.6,610.0,2
197,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,520.0,2
198,A,SHEET,0,0.0,45,0,762,0.3,610.0,2
199,R,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
200,R,SHEET,0,0.0,0,0,762,3.2,610.0,2
201,A,COIL,0,0.0,50,0,0,0.6,1250.0,2
202,A,COIL,0,0.0,0,0,0,1.6,1320.0,2
203,A,SHEET,0,0.0,0,0,762,0.3,1320.0,2
204,R,SHEET,0,0.0,0,0,762,0.6990000000000001,610.0,2
205,R,COIL,0,0.0,0,0,0,0.9009999999999999,966.1,2
206,R,SHEET,0,0.0,0,0,4880,0.3,595.0,2
207,A,SHEET,0,0.0,0,0,4880,0.6,1220.0,2
208,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,609.9,2
209,S,SHEET,0,70.0,0,0,4880,2.0,1000.0,2
210,A,SHEET,0,0.0,0,0,4880,1.0,610.0,2
211,,COIL,0,0.0,0,0,0,3.2,60.0,2
212,K,COIL,0,55.0,0,0,0,1.0,900.0,2
213,A,COIL,0,0.0,45,0,0,0.7,1320.0,2
214,R,COIL,0,0.0,0,0,0,1.6,1320.0,2
215,A,SHEET,0,0.0,45,0,762,1.6,610.0,2
216,K,COIL,500,55.0,0,0,0,2.3,900.0,2
217,R,SHEET,0,0.0,0,0,762,0.8,1300.0,1
218,,SHEET,0,0.0,0,0,4880,0.301,1320.0,2
219,A,COIL,0,0.0,50,0,0,0.601,610.0,2
220,R,SHEET,0,0.0,0,0,762,3.2,1320.0,2
221,M,COIL,0,0.0,0,600,0,1.3,1090.0,1
222,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,520.0,2
223,M,SHEET,0,0.0,0,600,1220,0.9,610.0,1
224,R,SHEET,0,0.0,0,0,762,3.2,1300.0,2
225,M,COIL,0,0.0,0,350,0,1.399,609.9,2
226,R,SHEET,0,0.0,0,0,761,1.599,610.0,1
227,A,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
228,R,COIL,0,0.0,0,0,0,0.7,1220.0,2
229,R,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
230,A,SHEET,0,0.0,45,0,761,0.599,610.0,2
231,A,SHEET,0,0.0,0,0,400,0.6990000000000001,610.0,2
232,A,SHEET,0,0.0,45,0,612,1.6,1320.0,2
233,,SHEET,0,0.0,0,0,612,0.5,609.9,3
234,A,COIL,0,0.0,45,0,0,0.301,1320.0,2
235,K,COIL,500,65.0,0,0,0,3.2,640.0,2
236,A,SHEET,0,0.0,0,0,762,0.6,610.0,2
237,A,COIL,0,0.0,0,0,0,0.6,249.9,3
238,R,COIL,0,0.0,0,0,0,0.7,610.0,2
239,R,SHEET,0,0.0,0,0,762,3.2,1300.0,2
240,A,SHEET,0,0.0,0,0,762,1.599,1320.0,2
241,A,COIL,0,0.0,0,0,0,0.8,609.9,2
242,A,COIL,600,0.0,60,0,0,1.9,1135.0,2
243,V,COIL,0,0.0,0,0,0,0.6990000000000001,609.9,2
244,A,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
245,R,SHEET,0,0.0,0,0,762,0.8,1320.0,1
246,R,COIL,0,0.0,0,0,0,0.9009999999999999,966.0,2
247,A,SHEET,0,0.0,0,0,762,0.7,610.0,2
248,A,COIL,0,0.0,0,0,0,0.8,75.0,2
249,R,SHEET,0,0.0,0,0,762,0.7,1320.0,2
250,A,SHEET,0,0.0,50,0,762,0.601,1250.0,2
251,A,COIL,0,0.0,60,0,0,0.799,609.0,2
252,R,SHEET,0,6.0,0,0,4880,1.0,610.0,2
253,A,COIL,0,0.0,50,0,0,0.6,20.0,2
254,K,COIL,0,45.0,0,0,0,0.6,900.0,2
255,R,SHEET,0,6.0,0,0,762,1.0,610.0,2
256,,COIL,0,0.0,0,0,0,0.5,250.0,3
257,A,COIL,0,0.0,0,0,0,0.6,50.0,3
258,W,SHEET,0,0.0,0,310,762,2.5,1274.9,2
259,A,SHEET,0,0.0,60,0,270,0.8009999999999999,255.1,2
260,R,SHEET,0,0.0,0,0,4170,1.6,1500.0,1
261,R,SHEET,0,0.0,0,0,4880,0.8,610.0,1
262,A,COIL,0,0.0,0,0,0,0.6,20.0,2
263,A,COIL,0,0.0,0,0,0,0.7,1320.0,2
264,,COIL,0,0.0,0,0,0,1.6,610.0,3
265,A,SHEET,0,0.0,0,0,4880,0.7,1220.0,2
266,A,SHEET,0,0.0,85,0,762,0.3,1220.0,4
267,A,COIL,0,0.0,0,0,0,3.2,610.0,2
268,A,SHEET,0,0.0,0,0,762,0.601,610.0,2
269,R,COIL,0,0.0,0,0,0,0.321,610.0,2
270,A,COIL,0,0.0,0,0,0,0.601,1220.0,2
271,R,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
272,R,SHEET,0,0.0,0,0,4880,3.2,150.0,2
273,A,SHEET,0,0.0,0,0,762,0.7,1220.0,2
274,,COIL,0,0.0,0,0,0,0.6,250.0,3
275,A,COIL,0,0.0,85,0,0,3.2,1220.0,4
276,R,SHEET,0,0.0,0,0,762,0.8,1320.0,1
277,S,COIL,0,0.0,0,400,0,0.8,609.9,0
278,A,SHEET,0,0.0,0,0,4170,1.2,610.0,2
279,A,SHEET,0,0.0,0,0,761,0.6990000000000001,1320.0,2
280,R,SHEET,0,0.0,0,0,4880,0.8,1320.0,1
281,R,SHEET,0,0.0,0,0,762,3.2,150.0,2
282,M,SHEET,0,0.0,0,600,1220,1.2990000000000002,1050.0,1
283,R,SHEET,0,0.0,0,0,4880,3.2,1300.0,2
284,R,SHEET,0,0.0,0,0,4880,0.6,375.0,2
285,A,SHEET,0,0.0,0,0,762,0.7,610.0,2
286,R,COIL,0,6.0,0,0,0,1.2,1220.0,2
287,S,COIL,0,0.0,0,400,0,1.0,75.0,0
288,R,SHEET,0,6.0,0,0,762,1.0,1320.0,2
289,A,COIL,600,0.0,70,0,0,2.5,610.0,2
290,R,SHEET,0,0.0,0,0,4880,0.8,610.0,1
291,R,SHEET,0,0.0,0,0,762,0.6,520.0,2
292,,COIL,0,0.0,70,0,0,0.8,50.0,2
293,A,SHEET,0,0.0,0,0,4880,0.3,1320.0,2
294,A,COIL,0,0.0,0,0,0,0.7,610.0,2
295,,SHEET,0,0.0,0,500,762,2.0,610.0,1
296,,SHEET,0,0.0,0,0,3000,0.5,609.9,3
297,,COIL,0,0.0,0,0,0,0.7,610.0,2
298,R,SHEET,0,0.0,0,0,4880,1.0,610.0,2
299,R,COIL,0,0.0,0,0,0,1.601,1320.0,2
300,R,SHEET,0,0.0,0,0,762,0.301,610.0,2
301,R,SHEET,0,0.0,0,0,612,1.2,609.9,1
302,R,SHEET,0,0.0,0,0,4170,0.8,1500.0,1
303,A,SHEET,0,0.0,45,0,762,0.7,1300.0,2
304,R,COIL,0,0.0,0,0,0,1.2009999999999998,50.0,2
305,A,SHEET,0,0.0,0,0,4880,0.75,610.0,2
306,R,SHEET,0,0.0,0,0,762,0.7,374.9,2
307,R,COIL,0,0.0,0,500,0,1.6,609.9,2
308,R,SHEET,0,0.0,0,0,4880,0.8,610.0,1
309,K,COIL,0,65.0,0,0,0,1.09,900.0,2
310,R,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
311,R,SHEET,0,0.0,0,0,762,0.7,150.0,2
312,K,COIL,0,55.0,0,0,0,2.2,900.0,2
313,V,SHEET,0,0.0,0,0,4880,0.7,610.0,2
314,A,COIL,0,4.0,0,0,0,1.0,25.0,2
315,R,COIL,0,0.0,0,0,0,0.6990000000000001,610.0,2
316,A,COIL,0,0.0,0,0,0,0.7,610.0,2
317,R,SHEET,0,0.0,0,0,4880,1.599,1320.0,1
318,V,SHEET,0,0.0,0,0,762,0.7,1320.0,2
319,R,SHEET,0,0.0,0,0,4880,3.2,1320.0,2
320,R,SHEET,0,0.0,0,0,762,0.6990000000000001,1320.0,2
321,A,COIL,0,0.0,50,0,0,0.601,610.0,2
322,A,SHEET,0,0.0,0,0,761,0.6,610.0,3
323,R,COIL,0,0.0,0,0,0,3.2,610.0,2
324,K,COIL,600,65.0,0,0,0,2.3,900.0,2
325,A,SHEET,0,0.0,0,0,4880,0.6,300.1,2
326,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,300.1,2
327,R,COIL,600,0.0,0,0,0,4.0,610.0,2
328,R,SHEET,0,0.0,0,0,762,1.599,610.0,2
329,A,SHEET,0,0.0,85,0,762,0.4,1220.0,4
330,M,COIL,0,0.0,0,350,0,1.601,609.9,2
331,A,SHEET,0,0.0,45,0,300,0.4,1220.0,2
332,R,COIL,0,0.0,0,0,0,1.6,1220.0,2
333,R,SHEET,0,0.0,0,0,762,0.7,1300.0,2
334,A,SHEET,0,0.0,85,0,4880,0.3,1220.0,4
335,A,SHEET,0,0.0,0,0,761,1.6,1220.0,3
336,A,COIL,0,0.0,0,0,0,0.4,610.0,2
337,A,SHEET,0,0.0,45,0,762,0.3,610.0,2
338,R,COIL,0,6.0,0,0,0,1.0,610.0,2
339,A,SHEET,0,0.0,0,0,4880,0.7,610.0,2
340,S,COIL,0,0.0,0,400,0,0.8,75.0,0
341,A,COIL,0,0.0,0,0,0,2.5,1320.0,2
342,A,SHEET,0,0.0,50,0,4880,1.6,1250.0,2
343,A,COIL,0,0.0,0,0,0,0.7,610.0,2
344,,COIL,0,0.0,50,0,0,0.601,1320.0,2
345,A,SHEET,0,0.0,0,0,762,0.7,1320.1,2
346,R,COIL,0,0.0,0,0,0,3.201,385.1,2
347,R,SHEET,0,0.0,0,0,4880,1.6,500.0,2
348,,SHEET,0,0.0,0,0,4880,0.7,1320.0,2
349,A,COIL,0,0.0,0,0,0,4.0,500.0,2
350,A,COIL,0,0.0,0,0,0,0.4,609.9,2
351,R,SHEET,0,0.0,0,0,4170,1.6,610.0,1
352,,SHEET,0,0.0,0,0,762,1.6,610.0,3
353,A,SHEET,0,0.0,45,0,4880,1.6,1300.0,2
354,R,COIL,0,0.0,0,0,0,3.2,50.0,2
355,A,COIL,0,0.0,80,0,0,0.5,29.0,2
356,,SHEET,0,0.0,0,0,762,0.3,595.0,2
357,A,SHEET,0,0.0,85,0,611,1.2,1200.0,4
358,A,COIL,0,0.0,60,0,0,2.801,355.0,2
359,A,COIL,500,0.0,85,0,0,4.0,610.0,4
360,A,SHEET,0,0.0,0,0,0,0.6990000000000001,609.9,2
361,K,COIL,0,65.0,0,0,0,1.5,900.0,2
362,R,COIL,600,0.0,0,0,0,4.0,1000.0,2
363,R,COIL,0,0.0,0,300,0,0.8,915.0,0
364,A,COIL,0,0.0,0,0,0,0.7,610.0,2
365,A,COIL,600,0.0,85,0,0,3.201,610.0,4
366,A,SHEET,0,0.0,0,0,762,1.0,1320.0,2
367,R,COIL,0,0.0,0,0,0,0.4,1320.0,2
368,A,SHEET,0,0.0,0,0,762,1.6,610.0,3
369,A,COIL,0,0.0,0,0,0,0.7,610.0,2
370,A,SHEET,0,0.0,85,0,0,0.4,1220.0,4
371,K,COIL,500,65.0,0,0,0,3.2,900.0,2
372,,SHEET,0,0.0,0,0,612,0.5,609.9,3
373,R,SHEET,0,0.0,0,0,612,1.599,1500.0,1
374,R,SHEET,0,0.0,0,0,4880,0.8,1320.0,1
375,A,COIL,0,0.0,0,0,0,2.5,1320.0,2
376,A,COIL,0,0.0,0,0,0,0.8,900.1,2
377,R,COIL,0,0.0,0,0,0,4.0,385.1,2
378,,SHEET,0,0.0,0,0,762,0.6990000000000001,1300.0,2
379,A,SHEET,0,0.0,0,0,4880,0.6,610.0,2
380,A,SHEET,0,0.0,0,0,612,0.7,375.0,2
381,,SHEET,0,0.0,0,0,762,0.4,610.0,2
382,A,COIL,0,0.0,0,0,0,0.3,1320.0,2
383,R,COIL,0,0.0,0,0,0,3.2,610.0,2
384,A,COIL,0,0.0,85,0,0,1.2009999999999998,1220.0,4
385,A,SHEET,0,0.0,45,0,762,0.7,1320.0,2
386,R,COIL,0,0.0,0,0,0,0.8,610.0,1
387,A,COIL,0,0.0,45,0,0,0.6990000000000001,610.0,2
388,M,COIL,0,0.0,0,350,0,1.6,609.9,2
389,K,COIL,0,65.0,0,0,0,1.09,610.0,2
390,A,SHEET,0,0.0,45,0,4880,0.3,610.0,2
391,A,SHEET,0,0.0,0,0,612,1.2,609.9,2
392,K,COIL,0,65.0,0,0,0,0.6,900.0,2
393,R,SHEET,0,0.0,0,0,612,2.0,1500.0,1
394,V,COIL,0,0.0,0,0,0,0.8,20.0,1
395,K,COIL,0,45.0,0,0,0,0.6,900.0,2
396,A,SHEET,0,0.0,0,0,4880,0.9990000000000001,1220.0,2
397,R,SHEET,0,0.0,0,0,4880,1.599,1320.0,2
398,R,SHEET,0,0.0,0,0,612,2.0,610.0,1
399,R,SHEET,0,6.0,0,0,762,0.6,610.0,2
400,A,SHEET,0,0.0,0,0,762,0.6,609.9,2
401,M,COIL,0,0.0,0,350,0,0.9,610.0,2
402,R,SHEET,0,0.0,0,0,4880,1.599,610.0,1
403,A,COIL,0,0.0,50,0,0,0.4,1320.0,2
404,R,SHEET,0,0.0,0,0,612,1.2,335.0,1
405,S,COIL,0,0.0,0,700,0,1.0,609.9,0
406,M,SHEET,0,0.0,0,600,1220,0.9,1050.0,1
407,A,COIL,0,0.0,0,0,0,1.2009999999999998,75.0,2
408,M,COIL,0,0.0,0,600,0,1.3,1090.0,1
409,A,COIL,0,0.0,0,0,0,0.7,20.0,2
410,,SHEET,0,0.0,0,500,301,2.0,609.9,1
411,A,COIL,0,0.0,85,0,0,1.2009999999999998,610.0,4
412,,COIL,0,0.0,0,0,0,0.799,249.9,3
413,A,SHEET,0,0.0,0,0,762,0.3,610.0,2
414,A,SHEET,0,0.0,45,0,761,0.599,1320.0,2
415,W,SHEET,0,0.0,0,310,762,1.6,610.0,2
416,A,COIL,0,0.0,0,0,0,0.6990000000000001,1320.0,2
417,K,COIL,0,55.0,0,0,0,1.09,610.0,2
418,K,COIL,0,65.0,0,0,0,0.8,900.0,2
419,A,COIL,0,0.0,0,500,0,1.6,1320.0,2
420,V,SHEET,0,0.0,0,0,762,1.599,1320.0,1
421,A,SHEET,0,0.0,0,0,4880,3.2,1320.0,2
422,,COIL,0,0.0,0,0,0,0.301,20.0,2
423,A,SHEET,0,0.0,0,0,612,0.7,335.0,2
424,A,SHEET,0,0.0,0,0,762,0.6990000000000001,1320.0,2
425,A,SHEET,0,0.0,45,0,761,0.6990000000000001,1220.0,2
426,K,COIL,0,55.0,0,0,0,1.09,900.0,2
427,A,SHEET,0,0.0,60,0,269,0.8009999999999999,255.1,2
428,A,SHEET,0,0.0,85,0,150,1.2,600.0,4
429,A,SHEET,0,0.0,0,0,762,0.6990000000000001,610.0,2
430,R,SHEET,0,0.0,0,0,881,1.6,831.9,1
431,R,COIL,0,0.0,0,0,0,0.6990000000000001,20.0,2
432,A,COIL,0,0.0,0,0,0,0.321,610.0,2
433,W,SHEET,0,0.0,0,310,4880,0.8,1275.0,2
434,A,SHEET,0,0.0,0,0,4880,0.6990000000000001,1220.0,2
435,R,SHEET,0,0.0,0,0,762,0.6990000000000001,595.0,2
436,K,COIL,0,55.0,0,0,0,2.2,900.0,2
437,A,COIL,0,0.0,0,0,0,1.2009999999999998,50.0,2
438,R,SHEET,0,0.0,0,0,3000,1.2,335.0,1
